indiv,cost,phylo_dist,bloom,shannon,consval,grass_spec_frac,grass_weight_frac
2237,1661.512467,80105.517,28.90291861,19.60090963,61.28689632,0.12,0.138921849
2238,1914.629104,65268.91735,25.04670487,18.55042834,87.29236301,0.04,0.008009671
2239,921.3755793,85044.4119,17.56474389,21.00738504,73.83191848,0.36,0.333496344
2240,785.5607649,87292.67982,22.54834657,15.17694277,51.76573612,0.36,0.594313327
2241,1521.708351,89584.65253,26.83328622,9.50186936,41.71562422,0.28,0.586103914
2242,1173.127231,92035.86122,26.2318728,5.428124047,41.11842413,0.16,0.487830619
2243,344.3899076,84131.7509,23.66972532,13.14358206,48.86341905,0.4,0.763018686
2244,2479.149305,61440.11379,24.46191244,20.99392286,86.99187891,0.04,0.029813812
2245,554.0437554,88105.79653,24.36535692,11.3598434,52.95944444,0.28,0.611731171
2246,744.4086312,92024.08335,25.5018626,5.713655925,29.05431035,0.2,0.822941099
2247,2163.159577,60800.27497,22.68360184,22.24257623,90.58517158,0.04,0.032059142
2248,1906.994235,83060.20211,28.79351355,17.66931728,55.84952285,0.16,0.167154983
2249,1256.321801,87749.34846,20.06304042,17.74317984,74.07687239,0.2,0.255267161
2250,1463.403302,89464.39808,22.59012638,13.78404016,59.6797112,0.24,0.193021771
2251,736.0906246,92389.29538,24.25747335,4.709013213,32.18079848,0.2,0.849206689
2252,577.6572858,90414.03837,24.41346461,8.909369426,47.15212494,0.2,0.400120339
2253,990.2216579,92232.16957,24.0702908,6.499770194,20.16291098,0.2,0.572683302
2254,1896.7249,75338.67541,28.66478807,19.74671235,67.22208426,0.08,0.083639079
2255,1812.848692,84700.69278,27.90424162,19.78560882,65.49195078,0.16,0.167025432
2256,2400.03969,84124.5308,23.11737137,16.45966829,95.94537471,0.16,0.129032903
2257,1836.919695,92251.99349,25.29717829,8.94503259,49.30751546,0.16,0.380425071
2258,1236.474475,83976.0653,17.89688132,22.16633703,77.19312594,0.32,0.298385945
2259,1048.465462,77992.67328,26.97399645,18.29232189,61.91939133,0.2,0.287522836
2260,1288.06619,89805.71146,26.39293363,11.81314728,44.52985578,0.16,0.300293013
2261,1182.546377,84616.6554,17.70559048,22.50742608,74.23353173,0.32,0.288875255
2262,1038.962029,92047.56498,24.89399211,6.123754205,59.30219822,0.2,0.378509318
2263,765.4624671,85191.91727,21.90539861,18.44227057,52.20439475,0.4,0.530595134
2264,422.8570774,86543.2605,23.22032023,13.41099289,51.16626972,0.36,0.640584568
2265,2021.958834,67469.06321,23.90682885,21.46866414,82.65731365,0.04,0.028332406
2266,1209.672529,91370.38569,26.2318728,4.979564769,45.96952096,0.12,0.456739424
2267,2239.245357,76493.38501,21.59952065,20.54289385,93.00524794,0.12,0.090008223
2268,1549.868732,85355.68737,27.49794681,16.12141901,57.82353096,0.2,0.320731902
2269,2246.668222,77122.03453,21.97120392,18.82897586,96.51210616,0.12,0.121641912
2270,2055.569745,70498.78274,21.25407649,21.26521626,90.88017369,0.12,0.097001458
2271,2219.616835,59332.32712,25.90271303,21.93718988,83.57065016,0.04,0.02726938
2272,861.715414,84381.28026,22.1244543,16.71224274,61.6932605,0.4,0.515122251
2273,1921.482307,82048.22919,28.57842735,15.87733935,55.98190568,0.16,0.190121308
2274,937.3566715,86463.47539,20.85176253,18.45899623,62.16052543,0.36,0.436268508
2275,702.4821304,91889.54875,25.16745431,6.54969706,32.40497352,0.24,0.858577585
2276,1670.972797,70174.29784,21.1448162,22.00883947,85.6696347,0.16,0.160354189
2277,559.6136959,90544.56245,23.92543352,11.47166647,45.10869794,0.2,0.553176939
2278,1432.535607,87938.37972,21.99312834,17.82241663,70.0296438,0.32,0.281687806
2279,1267.488028,84099.79029,19.91339019,21.2389073,80.40009616,0.24,0.176216093
2280,1618.709345,83804.99546,28.08189897,17.26458969,55.23520654,0.24,0.27935785
2281,2031.98693,84467.90098,27.75094628,17.43642669,68.71831715,0.12,0.151775907
2282,1297.208022,89729.31159,26.14447443,10.98249839,45.11377166,0.16,0.306399717
2283,1891.325354,78968.70052,29.1800967,19.31712819,59.61427086,0.12,0.14363614
2284,2179.268261,63366.67211,25.37183418,20.37813632,86.75560873,0.04,0.030251179
2285,543.3383334,90887.96322,24.68615918,8.029503134,40.58644442,0.24,0.595514925
2286,1594.199161,83356.79374,28.42371517,17.38105693,62.39367821,0.16,0.206718657
2287,450.8617143,85910.71716,24.66507507,11.56323036,50.43119486,0.32,0.688549705
2288,1517.021787,89703.54213,26.48127561,10.32692347,34.85173807,0.2,0.525075606
2289,893.2643011,91319.97892,25.32491167,7.286422103,25.88583466,0.2,0.621945673
2290,2297.193539,34536.83091,25.04582927,24.7563721,82.07147904,0,0
2291,2218.822613,60489.49213,24.86869165,22.3313046,86.28839046,0.04,0.026537696
2292,1941.505854,79630.89301,29.18579443,18.89304726,56.92664009,0.12,0.143369795
2293,796.1930405,85827.88093,19.3151158,20.04171637,65.38267631,0.32,0.364410768
2294,1275.343924,86983.00782,19.71226684,19.86333578,73.53732499,0.28,0.24139338
2295,1475.817673,80228.17462,22.52172532,15.97439015,88.97787041,0.2,0.128721391
2296,2407.919773,92527.36835,24.2376255,3.621287144,87.82364795,0.16,0.077938702
2297,901.641136,87523.70225,21.97078047,17.08555175,67.5802829,0.32,0.363722956
2298,2343.016456,47045.11723,25.1877276,23.61539249,86.59293643,0,0
2299,1061.585492,83917.52508,17.94685272,22.20306892,72.1172556,0.36,0.34017878
2300,1573.974697,77116.46534,27.70079736,18.15781708,68.87697943,0.04,0.015799202
2301,715.0429907,89525.06158,24.4101878,11.14867917,52.68851239,0.28,0.382796963
2302,1000.815889,91075.48437,26.39114547,8.273623238,49.8244913,0.2,0.507306894
2303,460.3041614,87921.10791,23.58611236,11.96253961,50.73435596,0.32,0.554631215
2304,1018.479836,82521.69364,20.01482452,20.34958565,67.10833405,0.28,0.304722652
2305,1818.963849,83462.65975,28.41877604,17.30078671,62.09873299,0.16,0.169977722
2306,657.1865762,91260.13194,25.58864675,6.79945711,37.9438044,0.16,0.73674077
2307,1726.050903,86515.21136,26.8058504,12.94367803,68.08422059,0.16,0.16306197
2308,1728.158106,86896.88766,27.61118382,15.30858383,60.02746332,0.16,0.276867004
2309,1934.823448,63771.60996,23.98433982,22.85823907,78.52378687,0.12,0.103150163
2310,1874.734691,80689.50477,22.59585209,19.56533198,87.75122663,0.16,0.146883719
2311,1181.564543,89117.74764,23.33822628,12.73686036,54.57677327,0.28,0.430280895
2312,508.1631909,85520.70518,23.42492046,13.35229237,54.24261256,0.32,0.527326902
2313,803.0196908,90712.36665,25.61740872,8.086943974,29.46625317,0.24,0.731949746
2314,786.5805758,92343.55277,25.24351999,4.930550136,26.50076946,0.2,0.837962826
2315,1532.703651,87087.25009,19.53434415,18.2434042,79.13788723,0.28,0.236600474
2316,430.7063429,86651.85546,23.30725582,13.57878894,48.5802862,0.32,0.698400538
2317,1582.075716,83274.80541,27.96866196,18.62620706,54.35478916,0.16,0.218771503
2318,879.5420013,92033.35057,23.59245712,7.315205509,26.06583106,0.2,0.330740273
2319,1342.119629,86109.65489,26.91960393,18.33699969,58.24037564,0.24,0.367091889
2320,1474.249633,74068.94689,22.10836425,23.06645285,84.50927828,0.16,0.084775232
2321,1922.274971,81316.56937,27.46491945,18.2250405,66.89803399,0.12,0.179640793
2322,1362.641757,89397.21622,25.99699761,12.2531413,62.41985122,0.16,0.248085058
2323,1314.691159,79343.87019,23.37805973,19.01665918,73.09481857,0.12,0.157015607
2324,441.0076538,85453.71099,23.96206758,15.412198,59.48926084,0.32,0.534220978
2325,1014.418921,85072.04501,19.64855302,18.97739608,72.32743899,0.36,0.383624044
2326,601.316574,88006.95294,22.38551115,2.804142942,92.75738648,0.32,0.065954861
2327,2017.200496,52117.94056,26.13088797,24.97927616,72.2676723,0,0
2328,2442.98573,69982.31741,29.33339081,22.29341203,69.40934275,0.04,0.040843181
2329,930.5462474,86440.53025,19.16227766,13.83127312,79.64440289,0.36,0.26786206
2330,1877.510922,90069.03576,25.89706124,15.82311522,32.95003313,0.2,0.21450564
2331,967.9039599,88858.77218,24.264463,14.65561702,46.10812009,0.24,0.358663378
2332,1789.614584,90132.06427,25.95344573,13.8672857,34.26630232,0.24,0.22840384
2333,2159.326066,39575.69869,27.30045344,24.70665689,77.17242598,0,0
2334,1034.674901,87250.71822,21.87492127,7.92297684,89.94324247,0.36,0.215591919
2335,538.6370355,84926.63732,20.49751384,9.361643799,70.75590731,0.4,0.393890965
2336,980.9884801,88346.57145,25.48195088,14.39250898,48.32281877,0.28,0.26380234
2337,2309.325012,63728.76829,28.92826779,22.43518611,73.32841731,0,0
2338,2260.876342,85219.1773,21.9761123,10.06387613,95.64684784,0.28,0.190763112
2339,2019.694684,42801.7594,27.4031608,24.70192233,71.48020585,0,0
2340,1913.478317,41473.36363,27.30045344,24.57907214,74.92810831,0,0
2341,583.2607822,85846.71634,20.62061946,8.482901786,69.68167185,0.36,0.284307733
2342,930.796054,86274.68899,19.32064429,12.57615279,83.78889616,0.36,0.275507078
2343,962.7217389,86601.32775,19.92501179,14.98447506,84.3980378,0.28,0.195227436
2344,1470.716644,86919.79583,22.38908171,6.458759863,94.25031611,0.28,0.05263187
2345,1275.569528,87704.05384,21.0014208,11.51629623,87.5673928,0.32,0.187942121
2346,1217.795021,89879.11786,25.63503025,15.69955208,44.95462257,0.16,0.16616026
2347,1735.763647,43573.71739,26.00236673,23.8547583,74.56516809,0,0
2348,641.9434587,88006.95294,22.38551115,3.903590813,86.35129709,0.32,0.077697145
2349,1315.104933,90805.87523,23.34709393,15.88814048,42.93049135,0.24,0.276819031
2350,2451.563253,72858.47209,29.09836815,21.86965753,67.78016845,0.08,0.052876856
2351,2347.614658,51926.61794,27.90304084,22.20523946,78.18472357,0,0
2352,866.2398597,84885.18872,19.73083835,13.27407618,84.08852081,0.4,0.348970767
2353,430.1393946,86657.981,22.26578551,9.166298961,61.34643661,0.36,0.327473805
2354,609.0782851,86105.79465,21.11232861,7.153950917,78.29040694,0.36,0.339907836
2355,2304.291164,80050.23469,26.01123573,19.64412077,76.9311497,0.16,0.082443535
2356,2337.968352,64847.55912,29.15931179,22.51930951,71.02125479,0,0
2357,567.7942063,87152.54687,22.38551115,4.547283353,68.5109157,0.32,0.058112984
2358,2200.972034,45991.13907,27.65605647,24.45403165,77.68191134,0,0
2359,907.6178935,87296.67268,21.6714522,8.143917683,92.22484612,0.32,0.055059238
2360,2331.36273,38250.29808,27.45003292,24.63525059,75.05990612,0,0
2361,1146.925259,90243.45323,23.98809917,14.02036488,38.99986187,0.2,0.284150396
2362,1133.932483,88453.27597,21.24406149,10.20657247,86.52185532,0.28,0.051569351
2363,1354.269788,76965.30803,25.21596323,18.8209608,81.56127914,0.2,0.138010233
2364,1815.561192,47354.96845,27.19847169,24.23218163,73.49973567,0,0
2365,2408.430988,60038.51852,28.33618536,21.92783214,78.59646547,0,0
2366,637.6800311,87840.36249,22.11756196,4.981246871,88.62200027,0.32,0.074707609
2367,1163.273254,90595.02428,24.01001377,11.93620628,45.5627239,0.24,0.285745557
2368,840.9418322,85297.6842,20.0014208,11.21967965,87.02819099,0.4,0.325360657
2369,614.6984556,88006.95294,22.38551115,3.281635554,90.29926423,0.32,0.067344559
2370,1630.14119,89130.11103,26.66510606,15.12666855,43.98347976,0.24,0.256743385
2371,476.6610062,86670.90888,22.17546937,5.424730399,85.10692076,0.36,0.418546783
2372,669.536602,87256.77317,23.92231322,13.59394444,53.4913951,0.32,0.441488594
2373,700.7078788,83938.58476,20.22956465,9.533182404,88.01278909,0.4,0.41357072
2374,760.1962833,82838.88626,20.09440321,12.21484825,80.18412018,0.44,0.421960145
2375,2384.162413,64384.33436,29.27807619,22.79024942,70.8406594,0,0
2376,909.492088,86856.28727,19.43973042,11.42506315,82.41079857,0.36,0.214475008
2377,2139.219953,57593.05866,26.69835417,22.38145026,82.04436607,0.08,0.045723045
2378,1717.541906,79247.78189,24.63076873,17.62794324,84.5044411,0.12,0.135443615
2379,1868.623971,58383.96055,28.28567563,22.89186153,68.91916003,0.04,0.009603424
2380,903.5822042,88010.08884,22.52587421,6.814450231,87.99868704,0.32,0.293519102
2381,779.6948051,85760.10321,20.35267027,8.333150013,89.02922123,0.36,0.307373154
2382,2034.944782,75402.60467,28.08061724,20.80099718,69.08913494,0.08,0.054662437
2383,2142.091757,71236.65723,28.79219251,23.16162226,68.51904206,0.08,0.093576908
2384,1323.696147,85508.91652,21.73658396,11.10476646,94.9629108,0.28,0.181296889
2385,1059.945121,83555.11501,22.02077872,14.48589905,80.20105982,0.32,0.219005614
2386,2171.145776,67600.71292,26.90622196,22.0535234,77.37997647,0.04,0.006252126
2387,824.9017449,84997.97297,21.59898295,10.36942755,90.72334867,0.36,0.339454328
2388,2391.42102,62196.25211,28.75005232,23.10683368,74.6210862,0,0
2389,460.0953391,82629.56134,20.79296142,10.03181284,67.46220758,0.44,0.63113052
2390,1103.055281,89898.12655,23.73459227,11.44285121,50.21846053,0.24,0.287580864
2391,1808.625343,71674.39246,24.38963773,20.77906257,80.74904308,0.16,0.026002424
2392,2075.55692,53819.95212,28.54145112,24.01722058,69.40868784,0,0
2393,1183.80655,87703.23938,20.89311601,10.91963198,85.34312347,0.32,0.153643436
